level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n_records,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Invalid_Predictions
representation__prompt_type,representation|prompt_type,,nen,cot,,,105,0.7429,0.8236,0.8333,0.767,0.8488,0.7429,0.7051,1
representation__prompt_type,representation|prompt_type,,axiom,cot,,,105,0.7143,0.8049,0.8167,0.7283,0.8328,0.7143,0.6502,0
representation__prompt_type,representation|prompt_type,,ttl,cot,,,105,0.7333,0.8101,0.8278,0.7502,0.8372,0.7333,0.6839,0
representation__temperature_label,representation|temperature_label,,ttl,,temp0.0,,210,0.7333,0.8111,0.8278,0.7516,0.8381,0.7333,0.685,0
representation__temperature_label,representation|temperature_label,,nen,,temp0.0,,210,0.7286,0.8083,0.825,0.7459,0.8357,0.7286,0.6766,1
representation__temperature_label,representation|temperature_label,,axiom,,temp0.0,,210,0.7143,0.804,0.8167,0.7289,0.832,0.7143,0.6507,1
representation__cq_complexity,representation|cq_complexity,,ttl,,,simple,70,0.6714,0.7956,0.775,0.6882,0.8248,0.6714,0.6035,0
representation__cq_complexity,representation|cq_complexity,,nen,,,moderate,70,0.7,0.7877,0.8083,0.7072,0.818,0.7,0.6198,1
representation__cq_complexity,representation|cq_complexity,,axiom,,,simple,70,0.6571,0.6389,0.7667,0.6749,0.5476,0.6571,0.5785,1
representation__cq_complexity,representation|cq_complexity,,nen,,,simple,70,0.6714,0.8008,0.775,0.6886,0.8293,0.6714,0.6038,0
representation__cq_complexity,representation|cq_complexity,,ttl,,,moderate,70,0.7,0.7924,0.8083,0.7078,0.8221,0.7,0.6203,0
representation__cq_complexity,representation|cq_complexity,,axiom,,,moderate,70,0.7,0.7899,0.8083,0.7065,0.8199,0.7,0.6192,0
representation__cq_complexity,representation|cq_complexity,,ttl,,,complex,70,0.8286,0.8678,0.9,0.8499,0.8867,0.8286,0.8101,0
representation__cq_complexity,representation|cq_complexity,,nen,,,complex,70,0.8143,0.8655,0.8917,0.8377,0.8847,0.8143,0.7921,0
representation__cq_complexity,representation|cq_complexity,,axiom,,,complex,70,0.7857,0.8411,0.875,0.8032,0.8638,0.7857,0.7456,0
prompt_type__temperature_label,prompt_type|temperature_label,,,0_shot,temp0.0,,315,0.7206,0.8024,0.8204,0.7354,0.8307,0.7206,0.6615,1
prompt_type__temperature_label,prompt_type|temperature_label,,,cot,temp0.0,,315,0.7302,0.8107,0.8259,0.7481,0.8377,0.7302,0.6797,1
prompt_type__cq_complexity,prompt_type|cq_complexity,,,0_shot,,simple,105,0.6667,0.7936,0.7722,0.6822,0.8231,0.6667,0.594,1
prompt_type__cq_complexity,prompt_type|cq_complexity,,,0_shot,,moderate,105,0.6952,0.7746,0.8056,0.6949,0.8068,0.6952,0.6048,0
prompt_type__cq_complexity,prompt_type|cq_complexity,,,0_shot,,complex,105,0.8,0.8567,0.8833,0.8225,0.8771,0.8,0.7709,0
prompt_type__cq_complexity,prompt_type|cq_complexity,,,cot,,complex,105,0.819,0.8544,0.8944,0.837,0.8752,0.819,0.7941,0
prompt_type__cq_complexity,prompt_type|cq_complexity,,,cot,,moderate,105,0.7048,0.7976,0.8111,0.7161,0.8265,0.7048,0.6316,1
prompt_type__cq_complexity,prompt_type|cq_complexity,,,cot,,simple,105,0.6667,0.8067,0.7722,0.6856,0.8343,0.6667,0.5969,0
temperature_label__cq_complexity,temperature_label|cq_complexity,,,,temp0.0,simple,210,0.6667,0.7997,0.7722,0.6838,0.8283,0.6667,0.5953,1
temperature_label__cq_complexity,temperature_label|cq_complexity,,,,temp0.0,moderate,210,0.7,0.7852,0.8083,0.7053,0.8159,0.7,0.6181,1
temperature_label__cq_complexity,temperature_label|cq_complexity,,,,temp0.0,complex,210,0.8095,0.8538,0.8889,0.8291,0.8747,0.8095,0.7821,0
kg__representation__prompt_type,kg|representation|prompt_type,enslaved,ttl,0_shot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,ttl,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,gmo,ttl,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,currkg,nen,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,gmo,axiom,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,kwg,nen,0_shot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,gmo,nen,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,currkg,axiom,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,enslaved,axiom,0_shot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,kwg,ttl,0_shot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,currkg,ttl,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,axiom,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,nen,0_shot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,enslaved,nen,0_shot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,kwg,axiom,0_shot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,no_kg,axiom,0_shot,,,30,0.1,1.0,0.1,0.1818,1.0,0.1,0.1818,1
kg__representation__prompt_type,kg|representation|prompt_type,no_kg,nen,0_shot,,,30,0.1,1.0,0.1,0.1818,1.0,0.1,0.1818,0
kg__representation__prompt_type,kg|representation|prompt_type,no_kg,ttl,0_shot,,,30,0.1667,1.0,0.1667,0.2857,1.0,0.1667,0.2857,0
kg__representation__prompt_type,kg|representation|prompt_type,kwg,nen,cot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,kwg,axiom,cot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,enslaved,ttl,cot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,currkg,nen,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,kwg,ttl,cot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,gmo,axiom,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,nen,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,currkg,axiom,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,ttl,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
